protocol,table,attribute,definition,type,format_text,unit,id_variable,status
seagrass_biomass,sample_metadata,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_biomass,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_biomass,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_biomass,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_biomass,sample_metadata,sample_dimensions,Note the (bottom) area or dimensions of the sample,text,NA,NA,NA,active
seagrass_biomass,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_biomass,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_biomass,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_biomass,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_biomass,sample_metadata,sample_processing_date,The date the sample was processed in the lab,date,YYYY-MM-DD,NA,NA,active
seagrass_biomass,sample_metadata,corer_dimensions,Dimensions of the corer used (w x h),text,NA,NA,NA,active
seagrass_biomass,sample_metadata,depth_m,"Site depth in meters. For sites spanning a depth range, please provide a single average depth.",numeric,NA,meters,NA,active
seagrass_biomass,sample_metadata,data_collector,Name(s) of data collector(s),text,NA,NA,NA,active
seagrass_biomass,sample_metadata,data_entry_person,Full name of data entry person,text,NA,NA,NA,active
seagrass_biomass,sample_metadata,sample_metadata_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_biomass,sample_data,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_biomass,sample_data,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_biomass,sample_data,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_biomass,sample_data,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_biomass,sample_data,quadrat,The distance along the transect that the sample was collected (from 1-50 m),numeric,NA,meters,2,active
seagrass_biomass,sample_data,scientific_name,"Scientific name using standard scientific nomenclature. If the species cannot be identified to species, report genus or higher.",text,NA,NA,NA,active
seagrass_biomass,sample_data,identification_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_biomass,sample_data,sample_processing_person,The full name of the person processing the sample (no initials; ONLY one name per sample),text,NA,NA,NA,active
seagrass_biomass,sample_data,tin_mass_g,The mass in grams of an empty measring tin,decimal,xx.xx,grams,NA,active
seagrass_biomass,sample_data,tin_sample_dry_mass_g,"The mass in grams of a measring tin containing a seagrass sample, after it has been dried to a consistant dryweight",decimal,xx.xx,grams,NA,active
seagrass_biomass,sample_data,sample_data_notes,"Any additional notes regarding observations, context, or concerns about the data.",text,NA,NA,NA,active
seagrass_density,sample_metadata,sample_collection_date,The date the sample was collected in the field (YYYY-MM-DD),date,YYYY-MM-DD,NA,1,active
seagrass_density,sample_metadata,site_code,Enter your 6 character site code. Codes can be found in the standards section of the MarineGEO protocol website: https://marinegeo.github.io/standards/,text,XXX-YYY,NA,1,active
seagrass_density,sample_metadata,location_name,"The name of the specific location where the sample was collected; e.g., Curlew Cay",text,NA,NA,1,active
seagrass_density,sample_metadata,transect,"The transect at the location the sample came from: 1, 2, or 3",numeric,NA,NA,1,active
seagrass_density,sample_metadata,transect_begin_decimal_latitude,"Latitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_density,sample_metadata,transect_begin_decimal_longitude,"Longitude of the transect beginning, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
seagrass_density,sample_metadata,transect_end_decimal_latitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xx.xxxxx,NA,NA,active
seagrass_density,sample_metadata,transect_end_decimal_longitude,"Latitude of the transect ending, in decimal degrees (to five decimal places)",numeric,xxx.xxxxx,NA,NA,active
