"unresolved"
"Amphithoe sp."
"ascidian sp"
"Bare"
"Bivalve sp."
"brittle star"
"cf_Pentamera"
"Coralliphilia sp."
"crab megalops"
"Dentimitrella linconensis"
"Eusirid sp."
"filamentous algae mix"
"gastropod sp"
"gastropod sp."
"Gastropod_01"
"Hagaria rapax"
"Hermit Crab"
"Hippolyte clarkii"
"Hippolyte pleuracanthus"
"Jaina sp."
"juvenile clam"
"Leptasterias hexactis"
"Macroalgae"
"Mulima_lateralis"
"P pungio"
"Paguroid sp."
"Pandulus spp"
"Poly single med ant"
"Polyides rotunda"
"sand/mud"
"Sediment"
"Sepioteuthis sepiodea"
"Shells"
"Syllidae_01 orane eyes"
"unidentified"
"unknown"
"Unknown"
"Zafra atkinsoni"
