original_name,manually_resolved_name
Amphithoe sp.,Ampithoe
ascidian sp,Ascidiacea
Bivalve sp.,Bivalvia
brittle star,Ophiuroidea
cf_Pentamera,Pentamera
Coralliphilia sp.,
crab megalops,Decapoda
Dentimitrella linconensis,
Eusirid sp.,Eusiridae
gastropod sp,Gastropoda
gastropod sp.,Gastropoda
Hagaria rapax,Hargeria rapax
Hermit Crab,Paguroidea
Hippolyte clarkii,Hippolyte clarki
juvenile clam,Bivalvia
Mulima_lateralis,Mulinia lateralis
Paguroid sp.,Paguroidea
Pandulus spp,Pandalus
Polyides rotunda,Polyides rotunda
Sepioteuthis sepiodea,Sepioteuthis sepioidea
Syllidae_01 orane eyes,Syllidae
Zafra atkinsoni,
Macrobrachium intermedium,Palaemon intermedius
Nassarius tegula,Nassarius tiarula
Pleuronectoidei,Pleuronectiformes
Brachiosyllis,
Brachysyllis,Brachysyllis
Branchiosyllis,Branchiosyllis
Ventricularia,
Ventricolaria,Globivenus
Ventricaria,Valonia
Panilurus argus,Panulirus argus
Acanthurus bahanius,Acanthurus bahianus
Haliochoeres ciliaris,Halichoeres ciliaris
Lutjanus mahogani,Lutjanus mahogoni
barred hamlet,Hypoplectrus puella
